,Model,Property,Power,Price
296,Nissan Patrol 2023,Automatic,4000 CC,"78,000"
297,Kia Sonet 2023,Automatic,1500 CC,"78,773"
298,Porsche 911 2023,Automatic / Carrera,3000 CC,"79,000"
299,Gmc Sierra 2022,Automatic / DENALI,6200 CC,"79,900"
300,Jaguar I-pace 2023,Automatic / S,0 CC,"80,110"
301,Audi Q7 2019,Automatic / TFSI CS quattro,2000 CC,"80,969"
302,Volkswagen Touareg 2022,Automatic / TL,"3000 CC
Turbo","81,000"
303,Tesla Model X 2020,Automatic / Performance,0 CC,"81,990"
304,Porsche Taycan 2023,Automatic / 4S,0 CC,"82,000"
305,Chevrolet Tahoe 2023,Automatic / LS,5300 CC,"82,000"
306,Jaguar F-Type 2023,Automatic / R-DYNAMIC,"2000 CC
Turbo","82,560"
307,Porsche Taycan Cross Turismo 2023,Automatic / 4S,0 CC,"83,000"
308,Toyota Land Cruiser 2022,Automatic,4000 CC,"85,000"
309,BMW X5 2022,Automatic / 40i,3000 CC,"85,000"
310,Porsche 911 2023,Automatic / Carrera 4,3000 CC,"85,000"
311,Gmc Yukon 2023,Automatic / SLE,5300 CC,"86,000"
312,Porsche 911 2023,Automatic / Carrera T,3000 CC,"87,000"
313,Porsche 911 2023,Automatic / Carrera Cabriolet,3000 CC,"88,000"
314,Porsche Panamera 2022,Automatic / 4 E-Hybrid,2900 CC,"88,000"
315,Volkswagen T-Roc 2023,Automatic / TSI Life,1400 CC,"89,900"
316,Lexus Ls 2020,Automatic,3500 CC,"90,755"
317,Infiniti QX80 2020,Automatic,5600 CC,"93,000"
318,Porsche 911 2023,Automatic / Carrera 4 Cabriolet,3000 CC,"93,000"
319,Porsche 911 2023,manual / Targa 4,3400 CC,"93,000"
320,Porsche 911 2023,Automatic / Carrera S,3000 CC,"93,000"
321,Porsche Taycan 2023,Automatic / GTS,0 CC,"95,000"
322,Lexus Lx 2021,Automatic,5700 CC,"95,880"
323,Porsche Panamera 2022,Automatic / 4 E-Hybrid Executive,2900 CC,"96,000"
324,Toyota Land Cruiser 2022,Automatic / GXR,"3500 CC
Turbo","96,000"
325,Audi Q8 2019,Automatic / TFSI,3000 CC,"96,464"
326,Porsche 911 2023,Automatic / Carrera 4S,3000 CC,"98,000"
327,Porsche 911 2023,Automatic / Carrera S Cabriolet,3000 CC,"101,000"
328,Porsche 911 2023,Automatic / Carrera GTS,3000 CC,"102,000"
329,Porsche 718 2023,Automatic / Cayman GT4 RS,4000 CC,"103,000"
330,Porsche 911 2023,Automatic / Carrera 4S Cabriolet,3000 CC,"106,000"
331,Porsche 911 2023,manual / Targa 4S,3800 CC,"106,000"
332,Porsche 911 2023,Automatic / Carrera 4 GTS,3000 CC,"107,000"
333,Jaguar XJ 2020,Automatic / LUXURY,3000 CC,"109,740"
334,Maserati Ghibli 2022,Automatic v 6,"3000 CC
Turbo","110,000"
335,Infiniti QX80 2021,Automatic,5600 CC,"110,000"
336,Toyota Land Cruiser 2022,Automatic / GXR plus,"3500 CC
Turbo","110,000"
337,Gmc Yukon 2023,Automatic / AT4 AWD,5300 CC,"110,000"
338,Audi A8 2019,Automatic / TFSI quattro Base,3000 CC,"111,128"
339,Porsche 911 2023,Automatic / Carrera GTS Cabriolet,3000 CC,"112,000"
340,Porsche Taycan 2023,Automatic / Turbo,0 CC,"115,000"
341,Porsche Taycan Cross Turismo 2023,Automatic / Turbo,0 CC,"116,000"
342,Porsche 911 2023,Automatic / Carrera 4 GTS Cabriolet,3000 CC,"117,000"
343,Porsche 911 2023,Automatic / Targa 4 GTS,3000 CC,"117,000"
344,Maserati Levante 2022,Automatic V6 Modena,"3000 CC
Turbo","119,000"
345,Porsche 911 2023,manual / GT3,3800 CC,"124,000"
346,Toyota Land Cruiser 2022,Automatic / VX,"3500 CC
Turbo","125,000"
347,Porsche 911 2023,manual / Turbo,"3800 CC
Turbo","131,000"
348,Porsche 911 2023,Automatic / Turbo Cabriolet,"3800 CC
Turbo","139,000"
349,Porsche Taycan 2023,Automatic / Turbo S,0 CC,"147,000"
350,Maserati Quattroporte 2022,Automatic Gt,"3000 CC
Turbo","147,000"
351,BMW X7 2022,Automatic / XDrive40i,3000 CC,"155,000"
352,Porsche 911 2023,Automatic / Turbo S,"3800 CC
Turbo","155,000"
353,BMW 840i 2022,Automatic / Series Gran Coupe,3000 CC,"155,000"
354,Porsche 911 2023,manual / Turbo S Cabriolet,"3800 CC
Turbo","163,000"
355,Cadillac Escalade 2023,Automatic,6200 CC,"165,800"
356,Land Rover Range Rover Sport 2022,Automatic / SE 300 PS,2000 CC,"166,720"
357,Maserati Levante 2022,Automatic / GTS,"3800 CC
Turbo","175,000"
358,Land Rover Range Rover 2023,Automatic / SE,3000 CC,"187,350"
359,Genesis GV70 2022,Automatic / Prestige,"2500 CC
Turbo","191,500"
360,Genesis G80 2022,Automatic / Sport RWD,"2500 CC
Turbo","201,500"
361,Land Rover Range Rover 2023,Automatic / HSE,3000 CC,"203,350"
362,Maserati Quattroporte 2022,Automatic / GTS GranLusso,"3800 CC
Turbo","210,000"
363,Maserati Levante 2022,Automatic / Trofeo,"3800 CC
Turbo","220,000"
364,Genesis GV80 2022,Automatic / Prestige,"2500 CC
Turbo","239,500"
365,Cadillac Ecalade V 2023,manual,6200 CC,"250,000"
